Acumulado;Fecha acumulado   ;fecha           
401,458;1997-02-27 08:00:00;1997-02-27 00:00:00
402,637;1997-02-28 08:00:00;1997-02-28 00:00:00
403,623;1997-03-01 08:00:00;1997-03-01 00:00:00
404,413;1997-03-02 08:00:00;1997-03-02 00:00:00
405,996;1997-03-03 08:00:00;1997-03-03 00:00:00
407,584;1997-03-04 08:00:00;1997-03-04 00:00:00
409,178;1997-03-05 08:00:00;1997-03-05 00:00:00
410,776;1997-03-06 08:00:00;1997-03-06 00:00:00
412,38;1997-03-07 08:00:00;1997-03-07 00:00:00
414,191;1997-03-08 08:00:00;1997-03-08 00:00:00
415,805;1997-03-09 08:00:00;1997-03-09 00:00:00
417,223;1997-03-10 08:00:00;1997-03-10 00:00:00
418,847;1997-03-11 08:00:00;1997-03-11 00:00:00
420,273;1997-03-12 08:00:00;1997-03-12 00:00:00
408,181;1997-03-29 08:00:00;1997-03-29 00:00:00
407,187;1997-03-30 08:00:00;1997-03-30 00:00:00
405,996;1997-03-31 08:00:00;1997-03-31 00:00:00
405,006;1997-04-01 08:00:00;1997-04-01 00:00:00
403,82;1997-04-02 08:00:00;1997-04-02 00:00:00
402,637;1997-04-03 08:00:00;1997-04-03 00:00:00
401,065;1997-04-04 08:00:00;1997-04-04 00:00:00
400,28;1997-04-05 08:00:00;1997-04-05 00:00:00
399,106;1997-04-06 08:00:00;1997-04-06 00:00:00
397,935;1997-04-07 08:00:00;1997-04-07 00:00:00
396,572;1997-04-08 08:00:00;1997-04-08 00:00:00
395,406;1997-04-09 08:00:00;1997-04-09 00:00:00
393,856;1997-04-10 08:00:00;1997-04-10 00:00:00
392,312;1997-04-11 08:00:00;1997-04-11 00:00:00
390,196;1997-04-12 08:00:00;1997-04-12 00:00:00
388,28;1997-04-13 08:00:00;1997-04-13 00:00:00
386,372;1997-04-14 08:00:00;1997-04-14 00:00:00
384,471;1997-04-15 08:00:00;1997-04-15 00:00:00
382,389;1997-04-16 08:00:00;1997-04-16 00:00:00
380,128;1997-04-17 08:00:00;1997-04-17 00:00:00
377,877;1997-04-18 08:00:00;1997-04-18 00:00:00
376,569;1997-04-19 08:00:00;1997-04-19 00:00:00
376,569;1997-04-20 08:00:00;1997-04-20 00:00:00
377,503;1997-04-21 08:00:00;1997-04-21 00:00:00
378,439;1997-04-22 08:00:00;1997-04-22 00:00:00
378,814;1997-04-23 08:00:00;1997-04-23 00:00:00
379,189;1997-04-24 08:00:00;1997-04-24 00:00:00
378,814;1997-04-25 08:00:00;1997-04-25 00:00:00
378,814;1997-04-26 08:00:00;1997-04-26 00:00:00
378,626;1997-04-27 08:00:00;1997-04-27 00:00:00
379,189;1997-04-28 08:00:00;1997-04-28 00:00:00
381,634;1997-04-29 08:00:00;1997-04-29 00:00:00
383,713;1997-04-30 08:00:00;1997-04-30 00:00:00
384,661;1997-05-01 08:00:00;1997-05-01 00:00:00
384,661;1997-05-02 08:00:00;1997-05-02 00:00:00
383,713;1997-05-03 08:00:00;1997-05-03 00:00:00
383,145;1997-05-04 08:00:00;1997-05-04 00:00:00
382,767;1997-05-05 08:00:00;1997-05-05 00:00:00
383,334;1997-05-06 08:00:00;1997-05-06 00:00:00
385,801;1997-05-07 08:00:00;1997-05-07 00:00:00
387,134;1997-05-08 08:00:00;1997-05-08 00:00:00
387,707;1997-05-09 08:00:00;1997-05-09 00:00:00
387,707;1997-05-10 08:00:00;1997-05-10 00:00:00
387,516;1997-05-11 08:00:00;1997-05-11 00:00:00
387,325;1997-05-12 08:00:00;1997-05-12 00:00:00
387,325;1997-05-13 08:00:00;1997-05-13 00:00:00
388,28;1997-05-14 08:00:00;1997-05-14 00:00:00
389,237;1997-05-15 08:00:00;1997-05-15 00:00:00
390,196;1997-05-16 08:00:00;1997-05-16 00:00:00
391,541;1997-05-17 08:00:00;1997-05-17 00:00:00
402,244;1997-05-18 08:00:00;1997-05-18 00:00:00
407,584;1997-05-19 08:00:00;1997-05-19 00:00:00
410,376;1997-05-20 08:00:00;1997-05-20 00:00:00
411,377;1997-05-21 08:00:00;1997-05-21 00:00:00
411,578;1997-05-22 08:00:00;1997-05-22 00:00:00
411,177;1997-05-23 08:00:00;1997-05-23 00:00:00
410,576;1997-05-24 08:00:00;1997-05-24 00:00:00
410,176;1997-05-25 08:00:00;1997-05-25 00:00:00
410,176;1997-05-26 08:00:00;1997-05-26 00:00:00
410,376;1997-05-27 08:00:00;1997-05-27 00:00:00
410,376;1997-05-28 08:00:00;1997-05-28 00:00:00
409,976;1997-05-29 08:00:00;1997-05-29 00:00:00
409,777;1997-05-30 08:00:00;1997-05-30 00:00:00
408,779;1997-05-31 08:00:00;1997-05-31 00:00:00
411,578;1997-06-01 08:00:00;1997-06-01 00:00:00
416,008;1997-06-02 08:00:00;1997-06-02 00:00:00
419,254;1997-06-03 08:00:00;1997-06-03 00:00:00
421,907;1997-06-04 08:00:00;1997-06-04 00:00:00
427,463;1997-06-05 08:00:00;1997-06-05 00:00:00
437,282;1997-06-06 08:00:00;1997-06-06 00:00:00
440,244;1997-06-07 08:00:00;1997-06-07 00:00:00
440,456;1997-06-08 08:00:00;1997-06-08 00:00:00
440,244;1997-06-09 08:00:00;1997-06-09 00:00:00
439,607;1997-06-10 08:00:00;1997-06-10 00:00:00
439,607;1997-06-11 08:00:00;1997-06-11 00:00:00
439,607;1997-06-12 08:00:00;1997-06-12 00:00:00
439,184;1997-06-13 08:00:00;1997-06-13 00:00:00
438,549;1997-06-14 08:00:00;1997-06-14 00:00:00
437,915;1997-06-15 08:00:00;1997-06-15 00:00:00
440,456;1997-06-16 08:00:00;1997-06-16 00:00:00
440,668;1997-06-17 08:00:00;1997-06-17 00:00:00
439,184;1997-06-18 08:00:00;1997-06-18 00:00:00
437,704;1997-06-19 08:00:00;1997-06-19 00:00:00
435,808;1997-06-20 08:00:00;1997-06-20 00:00:00
433,29;1997-06-21 08:00:00;1997-06-21 00:00:00
430,576;1997-06-22 08:00:00;1997-06-22 00:00:00
427,67;1997-06-23 08:00:00;1997-06-23 00:00:00
424,369;1997-06-24 08:00:00;1997-06-24 00:00:00
420,885;1997-06-25 08:00:00;1997-06-25 00:00:00
417,02;1997-06-26 08:00:00;1997-06-26 00:00:00
413,385;1997-06-27 08:00:00;1997-06-27 00:00:00
409,577;1997-06-28 08:00:00;1997-06-28 00:00:00
407,584;1997-06-29 08:00:00;1997-06-29 00:00:00
406,988;1997-06-30 08:00:00;1997-06-30 00:00:00
405,798;1997-07-01 08:00:00;1997-07-01 00:00:00
404,808;1997-07-02 08:00:00;1997-07-02 00:00:00
417,831;1997-07-03 08:00:00;1997-07-03 00:00:00
423,958;1997-07-04 08:00:00;1997-07-04 00:00:00
427,05;1997-07-06 08:00:00;1997-07-06 00:00:00
427,05;1997-07-07 08:00:00;1997-07-07 00:00:00
425,811;1997-07-08 08:00:00;1997-07-08 00:00:00
421,09;1997-07-12 08:00:00;1997-07-12 00:00:00
419,661;1997-07-13 08:00:00;1997-07-13 00:00:00
417,628;1997-07-14 08:00:00;1997-07-14 00:00:00
