Acumulado;Fecha acumulado   ;fecha           
125,481;2006-11-11 08:00:00;2006-11-11 00:00:00
125,678;2006-11-12 08:00:00;2006-11-12 00:00:00
125,876;2006-11-13 08:00:00;2006-11-13 00:00:00
126,074;2006-11-14 08:00:00;2006-11-14 00:00:00
126,273;2006-11-15 08:00:00;2006-11-15 00:00:00
126,422;2006-11-16 08:00:00;2006-11-16 00:00:00
127,766;2006-11-17 08:00:00;2006-11-17 00:00:00
129,068;2006-11-18 08:00:00;2006-11-18 00:00:00
129,622;2006-11-19 08:00:00;2006-11-19 00:00:00
130,126;2006-11-20 08:00:00;2006-11-20 00:00:00
130,48;2006-11-21 08:00:00;2006-11-21 00:00:00
134,613;2006-11-22 08:00:00;2006-11-22 00:00:00
141,035;2006-11-23 08:00:00;2006-11-23 00:00:00
143,161;2006-11-24 08:00:00;2006-11-24 00:00:00
144,124;2006-11-25 08:00:00;2006-11-25 00:00:00
144,768;2006-11-26 08:00:00;2006-11-26 00:00:00
145,253;2006-11-27 08:00:00;2006-11-27 00:00:00
145,576;2006-11-28 08:00:00;2006-11-28 00:00:00
145,738;2006-11-29 08:00:00;2006-11-29 00:00:00
145,9;2006-11-30 08:00:00;2006-11-30 00:00:00
146,17;2006-12-01 08:00:00;2006-12-01 00:00:00
146,603;2006-12-02 08:00:00;2006-12-02 00:00:00
147,091;2006-12-03 08:00:00;2006-12-03 00:00:00
147,525;2006-12-04 08:00:00;2006-12-04 00:00:00
148,015;2006-12-05 08:00:00;2006-12-05 00:00:00
149,216;2006-12-06 08:00:00;2006-12-06 00:00:00
153,243;2006-12-07 08:00:00;2006-12-07 00:00:00
155,533;2006-12-08 08:00:00;2006-12-08 00:00:00
158,921;2006-12-09 08:00:00;2006-12-09 00:00:00
161,663;2006-12-10 08:00:00;2006-12-10 00:00:00
163,853;2006-12-11 08:00:00;2006-12-11 00:00:00
165,363;2006-12-12 08:00:00;2006-12-12 00:00:00
166,354;2006-12-13 08:00:00;2006-12-13 00:00:00
167,232;2006-12-14 08:00:00;2006-12-14 00:00:00
167,818;2006-12-15 08:00:00;2006-12-15 00:00:00
168,289;2006-12-16 08:00:00;2006-12-16 00:00:00
168,642;2006-12-17 08:00:00;2006-12-17 00:00:00
169,055;2006-12-18 08:00:00;2006-12-18 00:00:00
169,35;2006-12-19 08:00:00;2006-12-19 00:00:00
169,527;2006-12-20 08:00:00;2006-12-20 00:00:00
169,823;2006-12-21 08:00:00;2006-12-21 00:00:00
