scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,5.0,204.0,2.5425925925925927,1373.0,540
baseline,maximin,0.0,0.0,1.0,6.0,400.0,4.322222222222222,2334.0,540
baseline,maximax,0.0,0.0,100.0,309.7499999999957,1000.0,78.10185185185185,42175.0,540
baseline,savage,0.0,0.0,1.0,5.0,204.0,2.674074074074074,1444.0,540
mild_drought,naive,0.0,0.0,3.0,200.0,800.0,27.625925925925927,14918.0,540
mild_drought,maximin,0.0,0.0,1.0,7.0,404.0,4.772222222222222,2577.0,540
mild_drought,maximax,0.0,0.0,100.0,400.0,900.0,69.61666666666666,37593.0,540
mild_drought,savage,0.0,0.0,1.0,6.0,304.0,2.9407407407407407,1588.0,540
severe_drought,naive,0.0,0.0,4.0,200.0,900.0,30.333333333333332,16380.0,540
severe_drought,maximin,0.0,0.0,1.0,7.0,400.0,4.5055555555555555,2433.0,540
severe_drought,maximax,0.0,0.0,100.0,300.0,1000.0,62.885185185185186,33958.0,540
severe_drought,savage,0.0,0.0,1.0,6.0,400.0,3.4203703703703705,1847.0,540
flashy,naive,0.0,0.0,100.0,204.0,700.0,45.68703703703704,24671.0,540
flashy,maximin,0.0,0.0,1.0,6.0,400.0,5.053703703703704,2729.0,540
flashy,maximax,0.0,0.0,100.0,400.0,1000.0,83.62962962962963,45160.0,540
flashy,savage,0.0,0.0,1.0,5.0499999999999545,305.0,4.3277777777777775,2337.0,540
no_rain,naive,0.0,0.0,4.0,200.0,700.0,26.696296296296296,14416.0,540
no_rain,maximin,0.0,0.0,1.0,7.0,404.0,5.088888888888889,2748.0,540
no_rain,maximax,0.0,0.0,100.0,206.0,700.0,45.757407407407406,24709.0,540
no_rain,savage,0.0,0.0,1.0,7.0,404.0,4.924074074074074,2659.0,540
