scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,0.0,4.0,101.0,1.2335834896810507,1315.0,1066
baseline,maximin,0.0,0.0,0.0,4.0,101.0,1.2335834896810507,1315.0,1066
baseline,maximax,0.0,0.0,1.0,100.0,201.0,6.859287054409005,7312.0,1066
baseline,savage,0.0,0.0,0.0,4.0,101.0,1.2335834896810507,1315.0,1066
mild_drought,naive,0.0,0.0,0.0,4.0,101.0,1.5159474671669793,1616.0,1066
mild_drought,maximin,0.0,0.0,0.0,4.0,101.0,1.2345215759849906,1316.0,1066
mild_drought,maximax,0.0,0.0,1.0,100.0,105.0,6.109756097560975,6513.0,1066
mild_drought,savage,0.0,0.0,0.0,4.0,101.0,1.2345215759849906,1316.0,1066
severe_drought,naive,0.0,0.0,1.0,4.0,105.0,2.0872420262664164,2225.0,1066
severe_drought,maximin,0.0,0.0,0.0,4.0,101.0,1.2429643527204504,1325.0,1066
severe_drought,maximax,0.0,0.0,1.0,5.0,105.0,4.898686679174484,5222.0,1066
severe_drought,savage,0.0,0.0,0.0,4.0,101.0,1.2429643527204504,1325.0,1066
flashy,naive,0.0,0.0,0.0,4.0,105.0,2.819887429643527,3006.0,1066
flashy,maximin,0.0,0.0,0.0,4.0,101.0,1.225140712945591,1306.0,1066
flashy,maximax,0.0,0.0,1.0,100.0,105.0,6.380863039399625,6802.0,1066
flashy,savage,0.0,0.0,0.0,4.0,101.0,1.225140712945591,1306.0,1066
no_rain,naive,0.0,0.0,1.0,4.0,105.0,2.378986866791745,2536.0,1066
no_rain,maximin,0.0,0.0,0.0,4.0,101.0,1.25328330206379,1336.0,1066
no_rain,maximax,0.0,0.0,1.0,4.0,105.0,2.75140712945591,2933.0,1066
no_rain,savage,0.0,0.0,0.0,4.0,101.0,1.25328330206379,1336.0,1066
