scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.25,500.0,800.0,55.351851851851855,29890.0,540
baseline,maximin,0.0,0.0,2.0,500.0,800.0,55.727777777777774,30093.0,540
baseline,maximax,0.0,0.0,104.0,500.0,900.0,103.32777777777778,55797.0,540
baseline,savage,0.0,0.0,2.0,500.0,800.0,55.37592592592593,29903.0,540
mild_drought,naive,0.0,0.0,2.0,500.0,800.0,55.394444444444446,29913.0,540
mild_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.76851851851852,30115.0,540
mild_drought,maximax,0.0,0.0,100.0,500.0,800.0,92.98148148148148,50210.0,540
mild_drought,savage,0.0,0.0,2.0,500.0,800.0,55.416666666666664,29925.0,540
severe_drought,naive,0.0,0.0,2.0,500.0,800.0,55.44444444444444,29940.0,540
severe_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.62222222222222,30036.0,540
severe_drought,maximax,0.0,0.0,100.0,500.0,800.0,80.4574074074074,43447.0,540
severe_drought,savage,0.0,0.0,2.0,500.0,800.0,55.455555555555556,29946.0,540
flashy,naive,0.0,0.0,100.0,500.0,800.0,71.41111111111111,38562.0,540
flashy,maximin,0.0,0.0,1.0,500.0,800.0,55.85925925925926,30164.0,540
flashy,maximax,0.0,0.0,104.0,500.0,900.0,104.58888888888889,56478.0,540
flashy,savage,0.0,0.0,1.0,500.0,800.0,55.87777777777778,30174.0,540
no_rain,naive,0.0,0.0,2.0,500.0,800.0,55.487037037037034,29963.0,540
no_rain,maximin,0.0,0.0,2.0,500.0,800.0,55.65925925925926,30056.0,540
no_rain,maximax,0.0,0.0,1.0,500.0,800.0,55.157407407407405,29785.0,540
no_rain,savage,0.0,0.0,2.0,500.0,800.0,55.30740740740741,29866.0,540
