scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,4.0,9.0,0.6454033771106942,688.0,1066
baseline,maximin,0.0,0.0,1.0,4.0,9.0,0.6679174484052532,712.0,1066
baseline,maximax,0.0,0.0,2.0,202.0,601.0,31.046904315196997,33096.0,1066
baseline,savage,0.0,0.0,1.0,4.0,9.0,0.6679174484052532,712.0,1066
mild_drought,naive,0.0,0.0,1.0,4.0,109.0,0.9296435272045028,991.0,1066
mild_drought,maximin,0.0,0.0,1.0,4.0,9.0,0.6763602251407129,721.0,1066
mild_drought,maximax,0.0,0.0,1.0,201.0,501.0,26.645403377110693,28404.0,1066
mild_drought,savage,0.0,0.0,1.0,4.0,9.0,0.6763602251407129,721.0,1066
severe_drought,naive,0.0,0.0,1.0,4.0,200.0,1.5093808630393997,1609.0,1066
severe_drought,maximin,0.0,0.0,1.0,4.0,9.0,0.6866791744840526,732.0,1066
severe_drought,maximax,0.0,0.0,1.0,103.0,401.0,15.415572232645403,16433.0,1066
severe_drought,savage,0.0,0.0,1.0,4.0,9.0,0.6866791744840526,732.0,1066
flashy,naive,0.0,0.0,1.0,102.0,204.0,11.977485928705441,12768.0,1066
flashy,maximin,0.0,0.0,1.0,4.0,9.0,0.6575984990619137,701.0,1066
flashy,maximax,0.0,0.0,2.0,202.75,601.0,35.34615384615385,37679.0,1066
flashy,savage,0.0,0.0,1.0,4.0,9.0,0.6575984990619137,701.0,1066
no_rain,naive,0.0,0.0,1.0,4.0,201.0,2.0881801125703565,2226.0,1066
no_rain,maximin,0.0,0.0,1.0,4.0,9.0,0.7101313320825516,757.0,1066
no_rain,maximax,0.0,0.0,1.0,4.0,201.0,2.5093808630393997,2675.0,1066
no_rain,savage,0.0,0.0,1.0,4.0,9.0,0.7101313320825516,757.0,1066
