scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,5.0,300.0,4.018518518518518,2170.0,540
baseline,maximin,0.0,0.0,1.0,7.0,400.0,6.561111111111111,3543.0,540
baseline,maximax,0.0,0.0,100.0,300.0,800.0,61.83888888888889,33393.0,540
baseline,savage,0.0,0.0,1.0,6.0,300.0,4.187037037037037,2261.0,540
mild_drought,naive,0.0,0.0,3.0,105.04999999999995,800.0,27.988888888888887,15114.0,540
mild_drought,maximin,0.0,0.0,1.0,7.0,404.0,6.609259259259259,3569.0,540
mild_drought,maximax,0.0,0.0,100.0,300.0,800.0,60.794444444444444,32829.0,540
mild_drought,savage,0.0,0.0,1.0,6.0,400.0,4.055555555555555,2190.0,540
severe_drought,naive,0.0,0.0,3.0,105.0,500.0,24.03148148148148,12977.0,540
severe_drought,maximin,0.0,0.0,2.0,7.0,400.0,6.155555555555556,3324.0,540
severe_drought,maximax,0.0,0.0,100.0,204.0,1000.0,52.18703703703704,28181.0,540
severe_drought,savage,0.0,0.0,2.0,7.0,400.0,4.527777777777778,2445.0,540
flashy,naive,0.0,0.0,5.0,210.69999999999573,601.0,40.855555555555554,22062.0,540
flashy,maximin,0.0,0.0,1.0,6.0,400.0,6.720370370370371,3629.0,540
flashy,maximax,0.0,0.0,100.0,302.0,1000.0,69.76481481481481,37673.0,540
flashy,savage,0.0,0.0,1.0,6.0,400.0,4.705555555555556,2541.0,540
no_rain,naive,0.0,0.0,4.0,107.04999999999995,500.0,28.50925925925926,15395.0,540
no_rain,maximin,0.0,0.0,1.0,7.0,404.0,6.357407407407408,3433.0,540
no_rain,maximax,0.0,0.0,100.0,205.0,600.0,44.62222222222222,24096.0,540
no_rain,savage,0.0,0.0,1.0,7.0,404.0,5.45925925925926,2948.0,540
