scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,0.0,1.0,4.0,0.10975609756097561,117.0,1066
baseline,maximin,0.0,0.0,0.0,1.0,7.0,0.14634146341463414,156.0,1066
baseline,maximax,0.0,0.0,0.0,101.0,500.0,22.9859287054409,24503.0,1066
baseline,savage,0.0,0.0,0.0,1.0,7.0,0.14634146341463414,156.0,1066
mild_drought,naive,0.0,0.0,0.0,2.0,200.0,2.7889305816135086,2973.0,1066
mild_drought,maximin,0.0,0.0,0.0,1.0,7.0,0.19418386491557224,207.0,1066
mild_drought,maximax,0.0,0.0,0.0,100.0,600.0,15.986866791744841,17042.0,1066
mild_drought,savage,0.0,0.0,0.0,1.0,7.0,0.19418386491557224,207.0,1066
severe_drought,naive,0.0,0.0,0.0,3.0,300.0,3.8630393996247654,4118.0,1066
severe_drought,maximin,0.0,0.0,0.0,2.0,7.0,0.3330206378986867,355.0,1066
severe_drought,maximax,0.0,0.0,0.0,100.0,300.0,9.99624765478424,10656.0,1066
severe_drought,savage,0.0,0.0,0.0,2.0,7.0,0.3330206378986867,355.0,1066
flashy,naive,0.0,0.0,0.0,100.0,400.0,16.408067542213885,17491.0,1066
flashy,maximin,0.0,0.0,0.0,1.0,5.0,0.10037523452157598,107.0,1066
flashy,maximax,0.0,0.0,0.0,200.0,500.0,28.309568480300186,30178.0,1066
flashy,savage,0.0,0.0,0.0,1.0,5.0,0.10037523452157598,107.0,1066
no_rain,naive,0.0,0.0,0.0,4.75,200.0,3.068480300187617,3271.0,1066
no_rain,maximin,0.0,0.0,0.0,3.0,8.0,0.4596622889305816,490.0,1066
no_rain,maximax,0.0,0.0,0.0,100.0,200.0,6.700750469043152,7143.0,1066
no_rain,savage,0.0,0.0,0.0,3.0,8.0,0.4596622889305816,490.0,1066
