scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,4.0,9.0,0.6444652908067542,687.0,1066
baseline,maximin,0.0,0.0,1.0,4.0,9.0,0.6726078799249531,717.0,1066
baseline,maximax,0.0,0.0,2.0,202.0,601.0,30.578799249530956,32597.0,1066
baseline,savage,0.0,0.0,1.0,4.0,9.0,0.6726078799249531,717.0,1066
mild_drought,naive,0.0,0.0,1.0,4.0,109.0,0.9324577861163227,994.0,1066
mild_drought,maximin,0.0,0.0,1.0,4.0,9.0,0.6819887429643527,727.0,1066
mild_drought,maximax,0.0,0.0,1.0,201.0,501.0,25.524390243902438,27209.0,1066
mild_drought,savage,0.0,0.0,1.0,4.0,9.0,0.6819887429643527,727.0,1066
severe_drought,naive,0.0,0.0,1.0,4.0,201.0,1.5084427767354596,1608.0,1066
severe_drought,maximin,0.0,0.0,1.0,4.0,9.0,0.6932457786116323,739.0,1066
severe_drought,maximax,0.0,0.0,1.0,103.0,301.0,15.887429643527204,16936.0,1066
severe_drought,savage,0.0,0.0,1.0,4.0,9.0,0.6932457786116323,739.0,1066
flashy,naive,0.0,0.0,1.0,101.75,203.0,12.538461538461538,13366.0,1066
flashy,maximin,0.0,0.0,1.0,4.0,9.0,0.6585365853658537,702.0,1066
flashy,maximax,0.0,0.0,2.0,202.0,601.0,35.33958724202627,37672.0,1066
flashy,savage,0.0,0.0,1.0,4.0,9.0,0.6585365853658537,702.0,1066
no_rain,naive,0.0,0.0,1.0,4.0,201.0,1.99624765478424,2128.0,1066
no_rain,maximin,0.0,0.0,1.0,4.0,9.0,0.7176360225140713,765.0,1066
no_rain,maximax,0.0,0.0,1.0,4.0,201.0,2.4146341463414633,2574.0,1066
no_rain,savage,0.0,0.0,1.0,4.0,9.0,0.7176360225140713,765.0,1066
