scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.25,500.0,800.0,55.351851851851855,29890.0,540
baseline,maximin,0.0,0.0,2.0,500.0,800.0,55.54259259259259,29993.0,540
baseline,maximax,0.0,0.0,101.0,500.0,900.0,101.49074074074075,54805.0,540
baseline,savage,0.0,0.0,2.0,500.0,800.0,55.37592592592593,29903.0,540
mild_drought,naive,0.0,0.0,2.0,500.0,800.0,55.39259259259259,29912.0,540
mild_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.57592592592592,30011.0,540
mild_drought,maximax,0.0,0.0,100.0,500.0,800.0,92.81481481481481,50120.0,540
mild_drought,savage,0.0,0.0,2.0,500.0,800.0,55.40925925925926,29921.0,540
severe_drought,naive,0.0,0.0,2.0,500.0,800.0,55.446296296296296,29941.0,540
severe_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.61851851851852,30034.0,540
severe_drought,maximax,0.0,0.0,100.0,500.0,800.0,81.02962962962962,43756.0,540
severe_drought,savage,0.0,0.0,2.0,500.0,800.0,55.45185185185185,29944.0,540
flashy,naive,0.0,0.0,100.0,500.0,800.0,73.80925925925926,39857.0,540
flashy,maximin,0.0,0.0,1.0,500.0,800.0,55.49629629629629,29968.0,540
flashy,maximax,0.0,0.0,102.25,500.0,900.0,105.52592592592593,56984.0,540
flashy,savage,0.0,0.0,1.0,500.0,800.0,55.51481481481481,29978.0,540
no_rain,naive,0.0,0.0,2.0,500.0,800.0,55.487037037037034,29963.0,540
no_rain,maximin,0.0,0.0,2.0,500.0,800.0,55.65925925925926,30056.0,540
no_rain,maximax,0.0,0.0,1.0,500.0,800.0,55.15925925925926,29786.0,540
no_rain,savage,0.0,0.0,2.0,500.0,800.0,55.30740740740741,29866.0,540
