scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
baseline,maximin,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
baseline,maximax,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
baseline,savage,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
mild_drought,naive,0.0,0.0,100.0,500.0,900.0,100.93808630393997,107600.0,1066
mild_drought,maximin,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
mild_drought,maximax,0.0,0.0,100.0,500.0,900.0,100.93808630393997,107600.0,1066
mild_drought,savage,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
severe_drought,naive,0.0,0.0,100.0,500.0,900.0,100.93808630393997,107600.0,1066
severe_drought,maximin,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
severe_drought,maximax,0.0,0.0,100.0,500.0,900.0,100.93808630393997,107600.0,1066
severe_drought,savage,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
flashy,naive,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
flashy,maximin,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
flashy,maximax,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
flashy,savage,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
no_rain,naive,0.0,0.0,100.0,500.0,900.0,101.12570356472796,107800.0,1066
no_rain,maximin,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
no_rain,maximax,0.0,0.0,100.0,500.0,900.0,101.12570356472796,107800.0,1066
no_rain,savage,0.0,0.0,100.0,500.0,900.0,100.75046904315197,107400.0,1066
