scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,500.0,800.0,55.327777777777776,29877.0,540
baseline,maximin,0.0,0.0,2.0,500.0,800.0,55.54074074074074,29992.0,540
baseline,maximax,0.0,0.0,101.0,500.0,900.0,97.96111111111111,52899.0,540
baseline,savage,0.0,0.0,2.0,500.0,800.0,55.370370370370374,29900.0,540
mild_drought,naive,0.0,0.0,2.0,500.0,800.0,55.3962962962963,29914.0,540
mild_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.57962962962963,30013.0,540
mild_drought,maximax,0.0,0.0,100.0,500.0,800.0,90.61111111111111,48930.0,540
mild_drought,savage,0.0,0.0,2.0,500.0,800.0,55.40925925925926,29921.0,540
severe_drought,naive,0.0,0.0,2.0,500.0,800.0,55.43888888888889,29937.0,540
severe_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.61296296296296,30031.0,540
severe_drought,maximax,0.0,0.0,100.0,500.0,800.0,78.25185185185185,42256.0,540
severe_drought,savage,0.0,0.0,2.0,500.0,800.0,55.44259259259259,29939.0,540
flashy,naive,0.0,0.0,100.0,500.0,800.0,73.79444444444445,39849.0,540
flashy,maximin,0.0,0.0,1.0,500.0,800.0,55.666666666666664,30060.0,540
flashy,maximax,0.0,0.0,101.0,500.0,900.0,102.74259259259259,55481.0,540
flashy,savage,0.0,0.0,1.0,500.0,800.0,55.681481481481484,30068.0,540
no_rain,naive,0.0,0.0,2.0,500.0,800.0,55.49629629629629,29968.0,540
no_rain,maximin,0.0,0.0,2.0,500.0,800.0,55.66851851851852,30061.0,540
no_rain,maximax,0.0,0.0,1.0,500.0,800.0,55.34814814814815,29888.0,540
no_rain,savage,0.0,0.0,2.0,500.0,800.0,55.49814814814815,29969.0,540
