scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,4.0,9.0,0.6454033771106942,688.0,1066
baseline,maximin,0.0,0.0,1.0,4.0,9.0,0.6613508442776735,705.0,1066
baseline,maximax,0.0,0.0,2.0,202.0,601.0,30.861163227016885,32898.0,1066
baseline,savage,0.0,0.0,1.0,4.0,9.0,0.6613508442776735,705.0,1066
mild_drought,naive,0.0,0.0,1.0,4.0,109.0,1.1181988742964353,1192.0,1066
mild_drought,maximin,0.0,0.0,1.0,4.0,9.0,0.6716697936210131,716.0,1066
mild_drought,maximax,0.0,0.0,1.0,201.0,502.0,26.74108818011257,28506.0,1066
mild_drought,savage,0.0,0.0,1.0,4.0,9.0,0.6716697936210131,716.0,1066
severe_drought,naive,0.0,0.0,1.0,4.0,200.0,1.6069418386491556,1713.0,1066
severe_drought,maximin,0.0,0.0,1.0,4.0,9.0,0.6876172607879925,733.0,1066
severe_drought,maximax,0.0,0.0,1.0,103.0,401.0,16.26266416510319,17336.0,1066
severe_drought,savage,0.0,0.0,1.0,4.0,9.0,0.6876172607879925,733.0,1066
flashy,naive,0.0,0.0,1.0,101.0,203.0,11.22514071294559,11966.0,1066
flashy,maximin,0.0,0.0,1.0,4.0,9.0,0.6472795497185742,690.0,1066
flashy,maximax,0.0,0.0,2.0,203.0,601.0,34.87617260787992,37178.0,1066
flashy,savage,0.0,0.0,1.0,4.0,9.0,0.6472795497185742,690.0,1066
no_rain,naive,0.0,0.0,1.0,4.0,201.0,2.0881801125703565,2226.0,1066
no_rain,maximin,0.0,0.0,1.0,4.0,9.0,0.7082551594746717,755.0,1066
no_rain,maximax,0.0,0.0,1.0,4.0,201.0,2.5084427767354596,2674.0,1066
no_rain,savage,0.0,0.0,1.0,4.0,9.0,0.7082551594746717,755.0,1066
