scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,500.0,800.0,55.324074074074076,29875.0,540
baseline,maximin,0.0,0.0,2.0,500.0,800.0,55.72962962962963,30094.0,540
baseline,maximax,0.0,0.0,101.0,500.0,900.0,99.25185185185185,53596.0,540
baseline,savage,0.0,0.0,2.0,500.0,800.0,55.37777777777778,29904.0,540
mild_drought,naive,0.0,0.0,2.0,500.0,800.0,55.394444444444446,29913.0,540
mild_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.762962962962966,30112.0,540
mild_drought,maximax,0.0,0.0,100.0,500.0,800.0,92.45,49923.0,540
mild_drought,savage,0.0,0.0,2.0,500.0,800.0,55.41111111111111,29922.0,540
severe_drought,naive,0.0,0.0,2.0,500.0,800.0,55.43888888888889,29937.0,540
severe_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.80555555555556,30135.0,540
severe_drought,maximax,0.0,0.0,100.0,500.0,800.0,80.65,43551.0,540
severe_drought,savage,0.0,0.0,2.0,500.0,800.0,55.4537037037037,29945.0,540
flashy,naive,0.0,0.0,100.0,500.0,800.0,74.72962962962963,40354.0,540
flashy,maximin,0.0,0.0,1.0,500.0,800.0,55.66851851851852,30061.0,540
flashy,maximax,0.0,0.0,104.0,500.0,900.0,105.70555555555555,57081.0,540
flashy,savage,0.0,0.0,1.0,500.0,800.0,55.68703703703704,30071.0,540
no_rain,naive,0.0,0.0,2.0,500.0,800.0,55.49629629629629,29968.0,540
no_rain,maximin,0.0,0.0,2.0,500.0,800.0,55.672222222222224,30063.0,540
no_rain,maximax,0.0,0.0,1.0,500.0,800.0,55.16111111111111,29787.0,540
no_rain,savage,0.0,0.0,2.0,500.0,800.0,55.318518518518516,29872.0,540
