scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,4.0,9.0,0.6444652908067542,687.0,1066
baseline,maximin,0.0,0.0,1.0,4.0,9.0,0.6697936210131332,714.0,1066
baseline,maximax,0.0,0.0,2.0,202.0,601.0,31.41838649155722,33492.0,1066
baseline,savage,0.0,0.0,1.0,4.0,9.0,0.6697936210131332,714.0,1066
mild_drought,naive,0.0,0.0,1.0,4.0,109.0,1.025328330206379,1093.0,1066
mild_drought,maximin,0.0,0.0,1.0,4.0,9.0,0.6810506566604128,726.0,1066
mild_drought,maximax,0.0,0.0,1.0,201.0,501.0,26.74108818011257,28506.0,1066
mild_drought,savage,0.0,0.0,1.0,4.0,9.0,0.6810506566604128,726.0,1066
severe_drought,naive,0.0,0.0,1.0,4.0,201.0,1.6969981238273921,1809.0,1066
severe_drought,maximin,0.0,0.0,1.0,4.0,9.0,0.6941838649155723,740.0,1066
severe_drought,maximax,0.0,0.0,1.0,103.0,304.0,16.068480300187616,17129.0,1066
severe_drought,savage,0.0,0.0,1.0,4.0,9.0,0.6941838649155723,740.0,1066
flashy,naive,0.0,0.0,1.0,101.0,203.0,10.382739212007504,11068.0,1066
flashy,maximin,0.0,0.0,1.0,4.0,9.0,0.6575984990619137,701.0,1066
flashy,maximax,0.0,0.0,2.75,203.0,601.0,36.090994371482175,38473.0,1066
flashy,savage,0.0,0.0,1.0,4.0,9.0,0.6575984990619137,701.0,1066
no_rain,naive,0.0,0.0,1.0,4.0,201.0,2.0872420262664164,2225.0,1066
no_rain,maximin,0.0,0.0,1.0,4.0,9.0,0.7110694183864915,758.0,1066
no_rain,maximax,0.0,0.0,1.0,4.0,201.0,2.601313320825516,2773.0,1066
no_rain,savage,0.0,0.0,1.0,4.0,9.0,0.7110694183864915,758.0,1066
