scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,500.0,800.0,55.324074074074076,29875.0,540
baseline,maximin,0.0,0.0,2.0,500.0,800.0,55.37777777777778,29904.0,540
baseline,maximax,0.0,0.0,100.25,500.0,900.0,97.5962962962963,52702.0,540
baseline,savage,0.0,0.0,2.0,500.0,800.0,55.38148148148148,29906.0,540
mild_drought,naive,0.0,0.0,2.0,500.0,800.0,55.388888888888886,29910.0,540
mild_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.412962962962965,29923.0,540
mild_drought,maximax,0.0,0.0,100.0,500.0,800.0,90.42592592592592,48830.0,540
mild_drought,savage,0.0,0.0,2.0,500.0,800.0,55.416666666666664,29925.0,540
severe_drought,naive,0.0,0.0,2.0,500.0,800.0,55.44259259259259,29939.0,540
severe_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.45185185185185,29944.0,540
severe_drought,maximax,0.0,0.0,100.0,500.0,800.0,78.81666666666666,42561.0,540
severe_drought,savage,0.0,0.0,2.0,500.0,800.0,55.455555555555556,29946.0,540
flashy,naive,0.0,0.0,100.0,500.0,800.0,74.91111111111111,40452.0,540
flashy,maximin,0.0,0.0,1.0,500.0,800.0,55.31666666666667,29871.0,540
flashy,maximax,0.0,0.0,101.0,500.0,900.0,103.12592592592593,55688.0,540
flashy,savage,0.0,0.0,1.0,500.0,800.0,55.32037037037037,29873.0,540
no_rain,naive,0.0,0.0,2.0,500.0,800.0,55.49629629629629,29968.0,540
no_rain,maximin,0.0,0.0,2.0,500.0,800.0,55.49814814814815,29969.0,540
no_rain,maximax,0.0,0.0,1.0,500.0,800.0,55.166666666666664,29790.0,540
no_rain,savage,0.0,0.0,2.0,500.0,800.0,55.31666666666667,29871.0,540
