scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,4.0,9.0,0.6444652908067542,687.0,1066
baseline,maximin,0.0,0.0,1.0,4.0,9.0,0.6641651031894934,708.0,1066
baseline,maximax,0.0,0.0,2.0,201.75,601.0,31.045966228893057,33095.0,1066
baseline,savage,0.0,0.0,1.0,4.0,9.0,0.6641651031894934,708.0,1066
mild_drought,naive,0.0,0.0,1.0,4.0,109.0,0.9315196998123827,993.0,1066
mild_drought,maximin,0.0,0.0,1.0,4.0,9.0,0.6726078799249531,717.0,1066
mild_drought,maximax,0.0,0.0,1.0,201.0,501.0,26.74108818011257,28506.0,1066
mild_drought,savage,0.0,0.0,1.0,4.0,9.0,0.6726078799249531,717.0,1066
severe_drought,naive,0.0,0.0,1.0,4.0,109.0,1.6041275797373358,1710.0,1066
severe_drought,maximin,0.0,0.0,1.0,4.0,9.0,0.6894934333958724,735.0,1066
severe_drought,maximax,0.0,0.0,1.0,103.0,401.0,15.604127579737336,16634.0,1066
severe_drought,savage,0.0,0.0,1.0,4.0,9.0,0.6894934333958724,735.0,1066
flashy,naive,0.0,0.0,1.0,101.0,203.0,10.475609756097562,11167.0,1066
flashy,maximin,0.0,0.0,1.0,4.0,9.0,0.6547842401500938,698.0,1066
flashy,maximax,0.0,0.0,2.0,202.0,601.0,35.349906191369605,37683.0,1066
flashy,savage,0.0,0.0,1.0,4.0,9.0,0.6547842401500938,698.0,1066
no_rain,naive,0.0,0.0,1.0,4.0,201.0,2.0872420262664164,2225.0,1066
no_rain,maximin,0.0,0.0,1.0,4.0,9.0,0.7063789868667918,753.0,1066
no_rain,maximax,0.0,0.0,1.0,4.0,201.0,2.5093808630393997,2675.0,1066
no_rain,savage,0.0,0.0,1.0,4.0,9.0,0.7063789868667918,753.0,1066
