scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,6.0,600.0,8.744295830055075,11114.0,1271
baseline,maximin,0.0,0.0,1.0,7.0,600.0,10.231313926042485,13004.0,1271
baseline,maximax,0.0,0.0,100.0,303.0,1000.0,58.81274586939418,74751.0,1271
baseline,savage,0.0,0.0,1.0,6.5,600.0,8.838709677419354,11234.0,1271
mild_drought,naive,0.0,0.0,2.0,200.0,1000.0,29.547600314712824,37555.0,1271
mild_drought,maximin,0.0,0.0,1.0,7.0,600.0,10.432730133752951,13260.0,1271
mild_drought,maximax,0.0,0.0,100.0,300.0,1000.0,53.27065302911094,67707.0,1271
mild_drought,savage,0.0,0.0,1.0,7.0,501.0,8.48937844217152,10790.0,1271
severe_drought,naive,0.0,0.0,2.0,107.0,900.0,24.208497246262784,30769.0,1271
severe_drought,maximin,0.0,0.0,1.0,7.0,600.0,9.707317073170731,12338.0,1271
severe_drought,maximax,0.0,0.0,5.0,206.5,1000.0,43.131392604248624,54820.0,1271
severe_drought,savage,0.0,0.0,1.0,7.0,600.0,6.991345397324941,8886.0,1271
flashy,naive,0.0,0.0,3.0,200.0,900.0,31.52950432730134,40074.0,1271
flashy,maximin,0.0,0.0,1.0,7.0,600.0,9.891424075531077,12572.0,1271
flashy,maximax,0.0,0.0,100.0,302.0,900.0,57.14162077104642,72627.0,1271
flashy,savage,0.0,0.0,1.0,6.0,600.0,8.106215578284814,10303.0,1271
no_rain,naive,0.0,0.0,2.0,108.0,1000.0,25.1573564122738,31975.0,1271
no_rain,maximin,0.0,0.0,1.0,8.0,600.0,9.404405979543666,11953.0,1271
no_rain,maximax,0.0,0.0,3.5,200.0,1000.0,36.05507474429583,45826.0,1271
no_rain,savage,0.0,0.0,1.0,7.0,404.0,6.928402832415421,8806.0,1271
