scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,0.0,2.0,4.0,0.25328330206378985,270.0,1066
baseline,maximin,0.0,0.0,0.0,2.0,4.0,0.2551594746716698,272.0,1066
baseline,maximax,0.0,0.0,0.0,2.0,103.0,3.8161350844277675,4068.0,1066
baseline,savage,0.0,0.0,0.0,2.0,4.0,0.2551594746716698,272.0,1066
mild_drought,naive,0.0,0.0,0.0,2.0,101.0,1.0309568480300189,1099.0,1066
mild_drought,maximin,0.0,0.0,0.0,2.0,4.0,0.28236397748592873,301.0,1066
mild_drought,maximax,0.0,0.0,0.0,3.0,103.0,3.9352720450281424,4195.0,1066
mild_drought,savage,0.0,0.0,0.0,2.0,4.0,0.28236397748592873,301.0,1066
severe_drought,naive,0.0,0.0,0.0,2.0,102.0,2.373358348968105,2530.0,1066
severe_drought,maximin,0.0,0.0,0.0,2.0,4.0,0.30956848030018763,330.0,1066
severe_drought,maximax,0.0,0.0,0.0,3.0,103.0,4.058161350844277,4326.0,1066
severe_drought,savage,0.0,0.0,0.0,2.0,4.0,0.30956848030018763,330.0,1066
flashy,naive,0.0,0.0,0.0,2.0,102.0,1.4549718574108819,1551.0,1066
flashy,maximin,0.0,0.0,0.0,2.0,4.0,0.2373358348968105,253.0,1066
flashy,maximax,0.0,0.0,0.0,2.0,103.0,3.5178236397748592,3750.0,1066
flashy,savage,0.0,0.0,0.0,2.0,4.0,0.2373358348968105,253.0,1066
no_rain,naive,0.0,0.0,0.0,3.0,200.0,3.128517823639775,3335.0,1066
no_rain,maximin,0.0,0.0,0.0,2.0,4.0,0.31613508442776733,337.0,1066
no_rain,maximax,0.0,0.0,0.0,3.0,200.0,3.407129455909944,3632.0,1066
no_rain,savage,0.0,0.0,0.0,2.0,4.0,0.31613508442776733,337.0,1066
