alpha,criterion,quantile_mode,delta_star_median,delta_star_p25,delta_star_p75,cost_baseline,cost_mild_drought,cost_severe_drought,cost_flashy,cost_no_rain,fn_baseline,fn_mild_drought,fn_severe_drought,fn_flashy,fn_no_rain,fn_total,cost_total
0.05,naive,predictor,-60.0,-60.0,24.375,32502.0,32527.0,32160.0,41163.0,31010.0,322.0,322.0,318.0,409.0,306.0,1677.0,169362.0
0.05,maximin,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32164.0,32480.0,31014.0,322.0,322.0,318.0,322.0,306.0,1590.0,160710.0
0.05,maximax,predictor,-60.0,-60.0,22.5,56716.0,51737.0,44379.0,59594.0,30925.0,565.0,515.0,441.0,594.0,306.0,2421.0,243351.0
0.05,savage,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32064.0,32480.0,31014.0,322.0,322.0,317.0,322.0,306.0,1589.0,160610.0
0.1,naive,predictor,-60.0,-60.0,24.375,32502.0,32527.0,32160.0,41163.0,31010.0,322.0,322.0,318.0,409.0,306.0,1677.0,169362.0
0.1,maximin,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32164.0,32480.0,31014.0,322.0,322.0,318.0,322.0,306.0,1590.0,160710.0
0.1,maximax,predictor,-60.0,-60.0,22.5,56716.0,51737.0,44379.0,59594.0,30925.0,565.0,515.0,441.0,594.0,306.0,2421.0,243351.0
0.1,savage,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32064.0,32480.0,31014.0,322.0,322.0,317.0,322.0,306.0,1589.0,160610.0
0.25,naive,predictor,-60.0,-60.0,24.375,32502.0,32527.0,32160.0,41163.0,31010.0,322.0,322.0,318.0,409.0,306.0,1677.0,169362.0
0.25,maximin,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32164.0,32480.0,31014.0,322.0,322.0,318.0,322.0,306.0,1590.0,160710.0
0.25,maximax,predictor,-60.0,-60.0,22.5,56716.0,51737.0,44379.0,59594.0,30925.0,565.0,515.0,441.0,594.0,306.0,2421.0,243351.0
0.25,savage,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32064.0,32480.0,31014.0,322.0,322.0,317.0,322.0,306.0,1589.0,160610.0
0.5,naive,predictor,-60.0,-60.0,24.375,32502.0,32527.0,32160.0,41163.0,31010.0,322.0,322.0,318.0,409.0,306.0,1677.0,169362.0
0.5,maximin,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32164.0,32480.0,31014.0,322.0,322.0,318.0,322.0,306.0,1590.0,160710.0
0.5,maximax,predictor,-60.0,-60.0,22.5,56716.0,51737.0,44379.0,59594.0,30925.0,565.0,515.0,441.0,594.0,306.0,2421.0,243351.0
0.5,savage,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32064.0,32480.0,31014.0,322.0,322.0,317.0,322.0,306.0,1589.0,160610.0
0.75,naive,predictor,-60.0,-60.0,24.375,32502.0,32527.0,32160.0,41163.0,31010.0,322.0,322.0,318.0,409.0,306.0,1677.0,169362.0
0.75,maximin,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32164.0,32480.0,31014.0,322.0,322.0,318.0,322.0,306.0,1590.0,160710.0
0.75,maximax,predictor,-60.0,-60.0,22.5,56716.0,51737.0,44379.0,59594.0,30925.0,565.0,515.0,441.0,594.0,306.0,2421.0,243351.0
0.75,savage,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32064.0,32480.0,31014.0,322.0,322.0,317.0,322.0,306.0,1589.0,160610.0
0.9,naive,predictor,-60.0,-60.0,24.375,32502.0,32527.0,32160.0,41163.0,31010.0,322.0,322.0,318.0,409.0,306.0,1677.0,169362.0
0.9,maximin,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32164.0,32480.0,31014.0,322.0,322.0,318.0,322.0,306.0,1590.0,160710.0
0.9,maximax,predictor,-60.0,-60.0,22.5,56716.0,51737.0,44379.0,59594.0,30925.0,565.0,515.0,441.0,594.0,306.0,2421.0,243351.0
0.9,savage,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32064.0,32480.0,31014.0,322.0,322.0,317.0,322.0,306.0,1589.0,160610.0
0.95,naive,predictor,-60.0,-60.0,24.375,32502.0,32527.0,32160.0,41163.0,31010.0,322.0,322.0,318.0,409.0,306.0,1677.0,169362.0
0.95,maximin,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32164.0,32480.0,31014.0,322.0,322.0,318.0,322.0,306.0,1590.0,160710.0
0.95,maximax,predictor,-60.0,-60.0,22.5,56716.0,51737.0,44379.0,59594.0,30925.0,565.0,515.0,441.0,594.0,306.0,2421.0,243351.0
0.95,savage,predictor,-60.0,-60.0,25.3125,32517.0,32535.0,32064.0,32480.0,31014.0,322.0,322.0,317.0,322.0,306.0,1589.0,160610.0
