alpha,criterion,delta_star_median,cost_baseline,cost_mild_drought,cost_severe_drought,cost_flashy,cost_no_rain,fn_baseline,fn_mild_drought,fn_severe_drought,fn_flashy,fn_no_rain,fn_total,cost_total
0.1,naive,-30.0,1013.0,7482.0,7114.0,20857.0,7125.0,1.0,65.0,60.0,200.0,58.0,384.0,43591.0
0.1,maximin,-30.0,1065.0,1141.0,1260.0,906.0,1365.0,1.0,1.0,1.0,0.0,0.0,3.0,5737.0
0.1,maximax,-30.0,49407.0,40875.0,29397.0,54864.0,12746.0,487.0,401.0,285.0,542.0,116.0,1831.0,187289.0
0.1,savage,-30.0,1065.0,1141.0,1260.0,906.0,1365.0,1.0,1.0,1.0,0.0,0.0,3.0,5737.0
0.25,naive,-30.0,1216.0,9672.0,8308.0,21154.0,8615.0,3.0,87.0,72.0,203.0,73.0,438.0,48965.0
0.25,maximin,-30.0,1284.0,1345.0,1480.0,1208.0,1687.0,3.0,3.0,3.0,3.0,3.0,15.0,7004.0
0.25,maximax,-30.0,51206.0,44070.0,31302.0,54152.0,14199.0,505.0,433.0,304.0,535.0,131.0,1908.0,194929.0
0.25,savage,-30.0,1284.0,1345.0,1480.0,1208.0,1687.0,3.0,3.0,3.0,3.0,3.0,15.0,7004.0
0.5,naive,-30.0,1920.0,17462.0,15801.0,28291.0,15910.0,10.0,165.0,147.0,274.0,146.0,742.0,79384.0
0.5,maximin,-30.0,2722.0,2985.0,3116.0,2801.0,3299.0,17.0,19.0,19.0,18.0,19.0,92.0,14923.0
0.5,maximax,-30.0,59920.0,52676.0,40995.0,60670.0,26212.0,592.0,519.0,401.0,600.0,251.0,2363.0,240473.0
0.5,savage,-30.0,2029.0,1988.0,2120.0,2105.0,2214.0,10.0,9.0,9.0,11.0,8.0,47.0,10456.0
0.75,naive,-30.0,20711.0,46987.0,45776.0,54382.0,41671.0,199.0,461.0,448.0,536.0,406.0,2050.0,209527.0
0.75,maximin,-30.0,24213.0,22282.0,22548.0,20482.0,22032.0,233.0,213.0,215.0,196.0,209.0,1066.0,111557.0
0.75,maximax,-30.0,98643.0,85113.0,78013.0,95005.0,62952.0,980.0,844.0,772.0,944.0,620.0,4160.0,419726.0
0.75,savage,-30.0,20861.0,17640.0,18521.0,15735.0,18537.0,199.0,166.0,174.0,148.0,173.0,860.0,91294.0
0.9,naive,-30.0,38637.0,70522.0,68772.0,76717.0,63585.0,379.0,697.0,679.0,760.0,626.0,3141.0,318233.0
0.9,maximin,-30.0,41362.0,41126.0,40761.0,39823.0,39381.0,405.0,402.0,398.0,390.0,383.0,1978.0,202453.0
0.9,maximax,-30.0,135900.0,123254.0,115025.0,124139.0,92156.0,1353.0,1226.0,1143.0,1236.0,913.0,5871.0,590474.0
0.9,savage,-30.0,38783.0,36455.0,36492.0,35254.0,36608.0,379.0,355.0,355.0,344.0,355.0,1788.0,183592.0
