alpha,criterion,quantile_mode,delta_star_median,delta_star_p25,delta_star_p75,cost_baseline,cost_mild_drought,cost_severe_drought,cost_flashy,cost_no_rain,fn_baseline,fn_mild_drought,fn_severe_drought,fn_flashy,fn_no_rain,fn_total,cost_total
0.05,naive,cost,-40.0,-40.0,0.625,686.0,1101.0,1709.0,11679.0,2815.0,0.0,4.0,10.0,110.0,21.0,145.0,17990.0
0.05,maximin,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.05,maximax,cost,-40.0,-40.0,-0.625,34178.0,26894.0,15725.0,39272.0,3456.0,336.0,263.0,151.0,387.0,28.0,1165.0,119525.0
0.05,savage,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.1,naive,cost,-40.0,-40.0,0.625,686.0,1101.0,1709.0,11679.0,2815.0,0.0,4.0,10.0,110.0,21.0,145.0,17990.0
0.1,maximin,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.1,maximax,cost,-40.0,-40.0,-0.625,34178.0,26894.0,15725.0,39272.0,3456.0,336.0,263.0,151.0,387.0,28.0,1165.0,119525.0
0.1,savage,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.25,naive,cost,-40.0,-40.0,0.625,686.0,1101.0,1709.0,11679.0,2815.0,0.0,4.0,10.0,110.0,21.0,145.0,17990.0
0.25,maximin,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.25,maximax,cost,-40.0,-40.0,-0.625,34178.0,26894.0,15725.0,39272.0,3456.0,336.0,263.0,151.0,387.0,28.0,1165.0,119525.0
0.25,savage,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.5,naive,cost,-40.0,-40.0,0.625,686.0,1101.0,1709.0,11679.0,2815.0,0.0,4.0,10.0,110.0,21.0,145.0,17990.0
0.5,maximin,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.5,maximax,cost,-40.0,-40.0,-0.625,34178.0,26894.0,15725.0,39272.0,3456.0,336.0,263.0,151.0,387.0,28.0,1165.0,119525.0
0.5,savage,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.75,naive,cost,-40.0,-40.0,0.625,686.0,1101.0,1709.0,11679.0,2815.0,0.0,4.0,10.0,110.0,21.0,145.0,17990.0
0.75,maximin,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.75,maximax,cost,-40.0,-40.0,-0.625,34178.0,26894.0,15725.0,39272.0,3456.0,336.0,263.0,151.0,387.0,28.0,1165.0,119525.0
0.75,savage,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.9,naive,cost,-40.0,-40.0,0.625,686.0,1101.0,1709.0,11679.0,2815.0,0.0,4.0,10.0,110.0,21.0,145.0,17990.0
0.9,maximin,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.9,maximax,cost,-40.0,-40.0,-0.625,34178.0,26894.0,15725.0,39272.0,3456.0,336.0,263.0,151.0,387.0,28.0,1165.0,119525.0
0.9,savage,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.95,naive,cost,-40.0,-40.0,0.625,686.0,1101.0,1709.0,11679.0,2815.0,0.0,4.0,10.0,110.0,21.0,145.0,17990.0
0.95,maximin,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
0.95,maximax,cost,-40.0,-40.0,-0.625,34178.0,26894.0,15725.0,39272.0,3456.0,336.0,263.0,151.0,387.0,28.0,1165.0,119525.0
0.95,savage,cost,-40.0,-40.0,0.625,715.0,726.0,734.0,712.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
