alpha,criterion,quantile_mode,delta_star_median,delta_star_p25,delta_star_p75,cost_baseline,cost_mild_drought,cost_severe_drought,cost_flashy,cost_no_rain,fn_baseline,fn_mild_drought,fn_severe_drought,fn_flashy,fn_no_rain,fn_total,cost_total
0.05,naive,predictor,-40.0,-40.0,0.625,686.0,1301.0,1807.0,10976.0,2815.0,0.0,6.0,11.0,103.0,21.0,141.0,17585.0
0.05,maximin,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.05,maximax,predictor,-40.0,-40.0,-0.625,33880.0,26298.0,15121.0,38472.0,3056.0,333.0,257.0,145.0,379.0,24.0,1138.0,116827.0
0.05,savage,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.1,naive,predictor,-40.0,-40.0,0.625,686.0,1301.0,1807.0,10976.0,2815.0,0.0,6.0,11.0,103.0,21.0,141.0,17585.0
0.1,maximin,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.1,maximax,predictor,-40.0,-40.0,-0.625,33880.0,26298.0,15121.0,38472.0,3056.0,333.0,257.0,145.0,379.0,24.0,1138.0,116827.0
0.1,savage,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.25,naive,predictor,-40.0,-40.0,0.625,686.0,1301.0,1807.0,10976.0,2815.0,0.0,6.0,11.0,103.0,21.0,141.0,17585.0
0.25,maximin,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.25,maximax,predictor,-40.0,-40.0,-0.625,33880.0,26298.0,15121.0,38472.0,3056.0,333.0,257.0,145.0,379.0,24.0,1138.0,116827.0
0.25,savage,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.5,naive,predictor,-40.0,-40.0,0.625,686.0,1301.0,1807.0,10976.0,2815.0,0.0,6.0,11.0,103.0,21.0,141.0,17585.0
0.5,maximin,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.5,maximax,predictor,-40.0,-40.0,-0.625,33880.0,26298.0,15121.0,38472.0,3056.0,333.0,257.0,145.0,379.0,24.0,1138.0,116827.0
0.5,savage,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.75,naive,predictor,-40.0,-40.0,0.625,686.0,1301.0,1807.0,10976.0,2815.0,0.0,6.0,11.0,103.0,21.0,141.0,17585.0
0.75,maximin,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.75,maximax,predictor,-40.0,-40.0,-0.625,33880.0,26298.0,15121.0,38472.0,3056.0,333.0,257.0,145.0,379.0,24.0,1138.0,116827.0
0.75,savage,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.9,naive,predictor,-40.0,-40.0,0.625,686.0,1301.0,1807.0,10976.0,2815.0,0.0,6.0,11.0,103.0,21.0,141.0,17585.0
0.9,maximin,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.9,maximax,predictor,-40.0,-40.0,-0.625,33880.0,26298.0,15121.0,38472.0,3056.0,333.0,257.0,145.0,379.0,24.0,1138.0,116827.0
0.9,savage,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.95,naive,predictor,-40.0,-40.0,0.625,686.0,1301.0,1807.0,10976.0,2815.0,0.0,6.0,11.0,103.0,21.0,141.0,17585.0
0.95,maximin,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
0.95,maximax,predictor,-40.0,-40.0,-0.625,33880.0,26298.0,15121.0,38472.0,3056.0,333.0,257.0,145.0,379.0,24.0,1138.0,116827.0
0.95,savage,predictor,-40.0,-40.0,0.625,718.0,728.0,732.0,714.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
