scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,4.0,205.0,1.2816679779701023,1629.0,1271
baseline,maximin,0.0,0.0,1.0,5.0,305.0,1.6947285601888278,2154.0,1271
baseline,maximax,0.0,0.0,100.0,300.0,1000.0,47.704169944925255,60632.0,1271
baseline,savage,0.0,0.0,1.0,5.0,205.0,1.3800157356412275,1754.0,1271
mild_drought,naive,0.0,0.0,1.0,101.0,700.0,13.84185680566483,17593.0,1271
mild_drought,maximin,0.0,0.0,1.0,5.0,305.0,1.7317073170731707,2201.0,1271
mild_drought,maximax,0.0,0.0,8.0,202.0,900.0,42.084185680566485,53489.0,1271
mild_drought,savage,0.0,0.0,1.0,5.0,207.0,1.5743509047993707,2001.0,1271
severe_drought,naive,0.0,0.0,2.0,100.0,900.0,10.730920535011801,13639.0,1271
severe_drought,maximin,0.0,0.0,1.0,6.0,405.0,1.936270653029111,2461.0,1271
severe_drought,maximax,0.0,0.0,4.0,200.0,1000.0,34.789929189614476,44218.0,1271
severe_drought,savage,0.0,0.0,1.0,6.0,405.0,1.6215578284815106,2061.0,1271
flashy,naive,0.0,0.0,2.0,104.0,700.0,24.845790715971678,31579.0,1271
flashy,maximin,0.0,0.0,1.0,5.0,404.0,1.8158929976396538,2308.0,1271
flashy,maximax,0.0,0.0,100.0,300.0,900.0,53.32179386309992,67772.0,1271
flashy,savage,0.0,0.0,1.0,5.0,404.0,1.5798583792289536,2008.0,1271
no_rain,naive,0.0,0.0,2.0,100.0,900.0,12.059008654602675,15327.0,1271
no_rain,maximin,0.0,0.0,1.0,7.0,404.0,1.983477576711251,2521.0,1271
no_rain,maximax,0.0,0.0,2.0,104.0,900.0,20.286388670338315,25784.0,1271
no_rain,savage,0.0,0.0,1.0,7.0,404.0,1.904799370574351,2421.0,1271
