scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,4.5,205.0,1.2800944138473642,1627.0,1271
baseline,maximin,0.0,0.0,1.0,5.0,305.0,1.6852871754523997,2142.0,1271
baseline,maximax,0.0,0.0,100.0,205.5,1000.0,46.586939417781274,59212.0,1271
baseline,savage,0.0,0.0,1.0,5.0,205.0,1.3705743509047994,1742.0,1271
mild_drought,naive,0.0,0.0,1.0,102.0,700.0,13.75609756097561,17484.0,1271
mild_drought,maximin,0.0,0.0,1.0,5.0,305.0,1.7222659323367426,2189.0,1271
mild_drought,maximax,0.0,0.0,6.0,201.0,1000.0,41.05350118017309,52179.0,1271
mild_drought,savage,0.0,0.0,1.0,5.0,207.0,1.5649095200629426,1989.0,1271
severe_drought,naive,0.0,0.0,2.0,100.0,900.0,10.571990558615264,13437.0,1271
severe_drought,maximin,0.0,0.0,1.0,6.0,405.0,1.929976396538159,2453.0,1271
severe_drought,maximax,0.0,0.0,4.0,200.0,1000.0,33.83162863886703,43000.0,1271
severe_drought,savage,0.0,0.0,1.0,6.0,405.0,1.6152635719905586,2053.0,1271
flashy,naive,0.0,0.0,2.0,104.0,700.0,23.278520849724625,29587.0,1271
flashy,maximin,0.0,0.0,1.0,5.0,404.0,1.8151062155782849,2307.0,1271
flashy,maximax,0.0,0.0,100.0,300.0,1000.0,51.822187254130604,65866.0,1271
flashy,savage,0.0,0.0,1.0,5.0,404.0,1.5790715971675846,2007.0,1271
no_rain,naive,0.0,0.0,2.0,100.0,800.0,11.821400472069238,15025.0,1271
no_rain,maximin,0.0,0.0,1.0,6.0,404.0,1.977970102281668,2514.0,1271
no_rain,maximax,0.0,0.0,2.0,104.0,800.0,19.583792289535797,24891.0,1271
no_rain,savage,0.0,0.0,1.0,6.0,404.0,1.8992918961447678,2414.0,1271
