scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,0.0,200.0,800.0,28.877261998426437,36703.0,1271
baseline,maximin,0.0,0.0,1.0,200.5,800.0,29.058221872541306,36933.0,1271
baseline,maximax,0.0,0.0,100.0,400.0,1000.0,67.83634933123525,86220.0,1271
baseline,savage,0.0,0.0,1.0,200.0,800.0,28.907946498819825,36742.0,1271
mild_drought,naive,0.0,0.0,1.0,200.0,800.0,28.922895357985837,36761.0,1271
mild_drought,maximin,0.0,0.0,1.0,201.0,800.0,29.099921321793865,36986.0,1271
mild_drought,maximax,0.0,0.0,4.0,400.0,1000.0,61.66325727773407,78374.0,1271
mild_drought,savage,0.0,0.0,1.0,200.0,800.0,28.870967741935484,36695.0,1271
severe_drought,naive,0.0,0.0,1.0,200.0,800.0,29.171518489378442,37077.0,1271
severe_drought,maximin,0.0,0.0,1.0,201.0,800.0,29.18253343823761,37091.0,1271
severe_drought,maximax,0.0,0.0,2.0,351.5,1000.0,50.26829268292683,63891.0,1271
severe_drought,savage,0.0,0.0,1.0,200.0,800.0,28.168371361132966,35802.0,1271
flashy,naive,0.0,0.0,2.0,204.5,800.0,43.15027537372148,54844.0,1271
flashy,maximin,0.0,0.0,0.0,200.5,800.0,29.014162077104643,36877.0,1271
flashy,maximax,0.0,0.0,100.0,451.0,1000.0,74.02045633359559,94080.0,1271
flashy,savage,0.0,0.0,0.0,201.0,800.0,29.020456333595593,36885.0,1271
no_rain,naive,0.0,0.0,1.0,200.0,800.0,28.144767899291896,35772.0,1271
no_rain,maximin,0.0,0.0,1.0,200.0,800.0,27.99449252557042,35581.0,1271
no_rain,maximax,0.0,0.0,1.0,154.0,800.0,26.40912667191188,33566.0,1271
no_rain,savage,0.0,0.0,1.0,154.0,800.0,26.357985837922897,33501.0,1271
