scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,200.0,800.0,26.508261211644374,33692.0,1271
baseline,maximin,0.0,0.0,1.0,200.0,800.0,26.528717545239967,33718.0,1271
baseline,maximax,0.0,0.0,4.0,400.0,900.0,61.22895357985838,77822.0,1271
baseline,savage,0.0,0.0,1.0,200.0,800.0,26.528717545239967,33718.0,1271
mild_drought,naive,0.0,0.0,1.0,200.0,800.0,26.546026750590087,33740.0,1271
mild_drought,maximin,0.0,0.0,1.0,200.0,800.0,26.561762391817467,33760.0,1271
mild_drought,maximax,0.0,0.0,4.0,400.0,800.0,55.59952793076318,70667.0,1271
mild_drought,savage,0.0,0.0,1.0,200.0,800.0,26.483084185680568,33660.0,1271
severe_drought,naive,0.0,0.0,1.0,200.0,800.0,26.373721479150277,33521.0,1271
severe_drought,maximin,0.0,0.0,1.0,200.0,800.0,26.391030684500393,33543.0,1271
severe_drought,maximax,0.0,0.0,2.0,301.0,800.0,46.14791502753737,58654.0,1271
severe_drought,savage,0.0,0.0,1.0,200.0,800.0,26.312352478363493,33443.0,1271
flashy,naive,0.0,0.0,1.0,204.0,800.0,38.327301337529505,48714.0,1271
flashy,maximin,0.0,0.0,1.0,200.0,800.0,26.475216365066878,33650.0,1271
flashy,maximax,0.0,0.0,5.0,400.0,900.0,64.01730920535012,81366.0,1271
flashy,savage,0.0,0.0,1.0,200.0,800.0,26.475216365066878,33650.0,1271
no_rain,naive,0.0,0.0,1.0,106.0,800.0,25.514555468135327,32429.0,1271
no_rain,maximin,0.0,0.0,1.0,106.0,800.0,25.52714398111723,32445.0,1271
no_rain,maximax,0.0,0.0,1.0,106.0,800.0,25.303697875688435,32161.0,1271
no_rain,savage,0.0,0.0,1.0,106.0,800.0,25.44846577498033,32345.0,1271
