scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,100.0,500.0,900.0,94.4765478424015,100712.0,1066
baseline,maximin,0.0,0.0,100.0,500.0,900.0,94.4812382739212,100717.0,1066
baseline,maximax,0.0,0.0,100.0,500.0,900.0,96.42307692307692,102787.0,1066
baseline,savage,0.0,0.0,100.0,500.0,900.0,94.4812382739212,100717.0,1066
mild_drought,naive,0.0,0.0,100.0,500.0,900.0,94.4765478424015,100712.0,1066
mild_drought,maximin,0.0,0.0,100.0,500.0,900.0,94.48030018761726,100716.0,1066
mild_drought,maximax,0.0,0.0,100.0,500.0,900.0,96.23545966228893,102587.0,1066
mild_drought,savage,0.0,0.0,100.0,500.0,900.0,94.48030018761726,100716.0,1066
severe_drought,naive,0.0,0.0,100.0,500.0,900.0,94.47467166979362,100710.0,1066
severe_drought,maximin,0.0,0.0,100.0,500.0,900.0,94.47748592870543,100713.0,1066
severe_drought,maximax,0.0,0.0,100.0,500.0,900.0,95.76454033771107,102085.0,1066
severe_drought,savage,0.0,0.0,100.0,500.0,900.0,94.38367729831144,100613.0,1066
flashy,naive,0.0,0.0,100.0,500.0,900.0,94.94559099437149,101212.0,1066
flashy,maximin,0.0,0.0,100.0,500.0,900.0,94.47936210131333,100715.0,1066
flashy,maximax,0.0,0.0,100.0,500.0,900.0,96.70262664165104,103085.0,1066
flashy,savage,0.0,0.0,100.0,500.0,900.0,94.47936210131333,100715.0,1066
no_rain,naive,0.0,0.0,100.0,500.0,900.0,94.47373358348968,100709.0,1066
no_rain,maximin,0.0,0.0,100.0,500.0,900.0,94.47560975609755,100711.0,1066
no_rain,maximax,0.0,0.0,100.0,500.0,900.0,94.25797373358348,100479.0,1066
no_rain,savage,0.0,0.0,100.0,500.0,900.0,94.28799249530957,100511.0,1066
